Głupiec=nowe początki, niewinność, spontaniczność, wolny duch, skok w nieznane
Mag=siła woli, umiejętności, zaradność, manifestacja, moc
Kapłanka=intuicja, tajemnica, wewnętrzna wiedza, podświadomość, cierpliwość
Cesarzowa=płodność, obfitość, opiekuńczość, kreatywność, natura
Cesarz=władza, struktura, stabilność, kontrola, ojcostwo
Papież=tradycja, instytucje, duchowe przewodnictwo, konformizm, rytuał
Kochankowie=miłość, związek, harmonia, dopasowanie, wybory
Rydwan=determinacja, zwycięstwo, kontrola, siła woli, triumf
Siła=odwaga, cierpliwość, wewnętrzna siła, współczucie, perswazja
Pustelnik=samotność, introspekcja, wewnętrzne przewodnictwo, mądrość, wycofanie
Koło Fortuny=los, cykle, punkt zwrotny, szczęście, przeznaczenie
Sprawiedliwość=sprawiedliwość, prawda, prawo, równowaga, przyczyna i skutek
Wisielec=zawieszenie, oczekiwanie, poddanie się, nowa perspektywa, poświęcenie
Śmierć=zakończenia, transformacja, przejście, zmiana, uwolnienie
Umiarkowanie=równowaga, umiar, cierpliwość, cel, sens
Diabeł=zniewolenie, materializm, cień, uzależnienie, obsesja
Wieża=nagły przewrót, chaos, objawienie, załamanie, kryzys
Gwiazda=nadzieja, wiara, odnowa, inspiracja, spokój
Księżyc=iluzja, strach, nieświadomość, zamieszanie, oszustwo
Słońce=radość, sukces, witalność, jasność, obfitość
Sąd=refleksja, rozrachunek, przebudzenie, rozgrzeszenie, odrodzenie
Świat=zakończenie, integracja, spełnienie, całość, podróże
As Buław=inspiracja, nowa szansa, iskra twórcza, potencjał, wzrost
Dwójka Buław=planowanie, wizja przyszłości, odkrycie, śmiały ruch, decyzja
Trójka Buław=ekspansja, dalekowzroczność, postęp, zagraniczna szansa, wizja
Czwórka Buław=uroczystość, harmonia, powrót do domu, społeczność, stabilność
Piątka Buław=konflikt, rywalizacja, napięcie, walka, niezgoda
Szóstka Buław=zwycięstwo, sukces, publiczne uznanie, duma, osiągnięcie
Siódemka Buław=wyzwanie, wytrwałość, obrona, trwanie przy swoim, rywalizacja
Ósemka Buław=szybkość, szybkie działanie, ruch, podróże, komunikacja
Dziewiątka Buław=odporność, odwaga, wytrwałość, ostatnia obrona, wytrzymałość
Dziesiątka Buław=brzemię, odpowiedzialność, ciężka praca, stres, przepracowanie
Paź Buław=entuzjazm, eksploracja, wolny duch, odkrycie, nowy pomysł
Rycerz Buław=działanie, przygoda, odwaga, pasja, impulsywność
Królowa Buław=pewność siebie, niezależność, ciepło, determinacja, charyzma
Król Buław=wizja, przywództwo, przedsiębiorca, śmiałość, honor
As Kielichów=nowe uczucia, miłość, intuicja, kreatywność, duchowe połączenie
Dwójka Kielichów=partnerstwo, wzajemne przyciąganie, połączenie, związek, romans
Trójka Kielichów=uroczystość, przyjaźń, wspólnota, radość, obfitość
Czwórka Kielichów=kontemplacja, apatia, przewartościowanie, wycofanie, nuda
Piątka Kielichów=strata, żal, wyrzuty sumienia, rozczarowanie, smutek
Szóstka Kielichów=nostalgia, dzieciństwo, niewinność, ponowne spotkanie, szczęśliwe wspomnienia
Siódemka Kielichów=fantazja, iluzja, myślenie życzeniowe, wybory, marzenia
