The Fool=new beginnings, innocence, spontaneity, free spirit, leap of faith
The Magician=willpower, skill, resourcefulness, manifestation, power
The High Priestess=intuition, mystery, inner knowing, subconscious, patience
The Empress=fertility, abundance, nurturing, creativity, nature
The Emperor=authority, structure, stability, control, fatherhood
The Hierophant=tradition, institutions, spiritual guidance, conformity, ritual
The Lovers=love, union, harmony, alignment, choices
The Chariot=determination, victory, control, willpower, triumph
Strength=courage, patience, inner strength, compassion, persuasion
The Hermit=solitude, introspection, inner guidance, wisdom, withdrawal
Wheel of Fortune=fate, cycles, turning point, luck, destiny
Justice=fairness, truth, law, balance, cause and effect
The Hanged Man=suspension, waiting, surrender, new perspective, sacrifice
Death=endings, transformation, transition, change, release
Temperance=balance, moderation, patience, purpose, meaning
The Devil=bondage, materialism, shadow self, addiction, obsession
The Tower=sudden upheaval, chaos, revelation, breakdown, crisis
The Star=hope, faith, renewal, inspiration, serenity
The Moon=illusion, fear, the unconscious, confusion, deception
The Sun=joy, success, vitality, clarity, abundance
Judgement=reflection, reckoning, awakening, absolution, rebirth
The World=completion, integration, accomplishment, wholeness, travel
Ace of Wands=inspiration, new opportunity, creative spark, potential, growth
Two of Wands=planning, future vision, discovery, bold move, decision
Three of Wands=expansion, foresight, progress, overseas opportunity, vision
Four of Wands=celebration, harmony, homecoming, community, stability
Five of Wands=conflict, competition, tension, struggle, disagreement
Six of Wands=victory, success, public recognition, pride, achievement
Seven of Wands=challenge, perseverance, defense, standing firm, competition
Eight of Wands=speed, swift action, movement, travel, communication
Nine of Wands=resilience, courage, persistence, last stand, stamina
Ten of Wands=burden, responsibility, hard work, stress, overcommitment
Page of Wands=enthusiasm, exploration, free spirit, discovery, new idea
Knight of Wands=action, adventure, courage, passion, impulsiveness
Queen of Wands=confidence, independence, warmth, determination, charisma
King of Wands=vision, leadership, entrepreneur, bold, honor
Ace of Cups=new feelings, love, intuition, creativity, spiritual connection
Two of Cups=partnership, mutual attraction, connection, union, romance
Three of Cups=celebration, friendship, community, joy, abundance
Four of Cups=contemplation, apathy, reevaluation, withdrawal, boredom
Five of Cups=loss, grief, regret, disappointment, sorrow
Six of Cups=nostalgia, childhood, innocence, reunion, happy memories
Seven of Cups=fantasy, illusion, wishful thinking, choices, daydreaming
Eight of Cups=walking away, disillusionment, withdrawal, leaving, deeper meaning
Nine of Cups=satisfaction, emotional fulfillment, wish fulfilled, contentment
Ten of Cups=harmony, family, happiness, alignment, emotional fulfillment
Page of Cups=creative possibilities, intuition, sensitivity, new emotions
Knight of Cups=romance, charm, following the heart, imagination
Queen of Cups=empathy, compassion, emotional security, intuition, care
King of Cups=emotional balance, diplomacy, wisdom, calm, compassion
Ace of Swords=clarity, truth, breakthrough, mental force, decision
Two of Swords=indecision, blocked emotions, stalemate, avoidance
Three of Swords=heartbreak, sorrow, grief, hurt, betrayal
Four of Swords=rest, recovery, contemplation, peace, sanctuary
Five of Swords=conflict, defeat, win at all costs, betrayal, tension
Six of Swords=transition, moving on, leaving behind, travel, calm after storm
Seven of Swords=deception, strategy, sneakiness, betrayal, cunning
Eight of Swords=restriction, imprisonment, helplessness, self-victimization
Nine of Swords=anxiety, fear, despair, nightmares, worry
Ten of Swords=painful ending, betrayal, crisis, hitting rock bottom, loss
Page of Swords=curiosity, wit, new ideas, communication, alertness
Knight of Swords=ambition, action, driven, focused, swift
Queen of Swords=independent, clear-headed, direct, honest, sharp
King of Swords=clarity, authority, truth, intellectual power, judgment
Ace of Pentacles=opportunity, prosperity, new venture, abundance, security
Two of Pentacles=balance, adaptability, prioritization, time management
Three of Pentacles=teamwork, collaboration, skill, craftsmanship, learning
Four of Pentacles=security, control, conservation, possessiveness, saving
Five of Pentacles=hardship, poverty, isolation, lack, financial loss
Six of Pentacles=generosity, giving, charity, sharing, prosperity
Seven of Pentacles=perseverance, investment, long-term view, patience, reward
Eight of Pentacles=diligence, mastery, skill development, craftsmanship, focus
Nine of Pentacles=abundance, independence, luxury, self-sufficiency, gratitude
Ten of Pentacles=wealth, legacy, family, long-term success, stability
Page of Pentacles=ambition, diligence, learning, new opportunity, practicality
Knight of Pentacles=efficiency, routine, reliable, methodical, conservative
Queen of Pentacles=nurturing, practical, protective, abundant, down-to-earth
King of Pentacles=wealth, business, leadership, security, abundance
