El Loco=nuevos comienzos, inocencia, espontaneidad, espíritu libre, salto de fe
El Mago=voluntad, habilidad, ingenio, manifestación, poder
La Papisa=intuición, misterio, conocimiento interior, subconsciente, paciencia
La Emperatriz=fertilidad, abundancia, nutrición, creatividad, naturaleza
El Emperador=autoridad, estructura, estabilidad, control, paternidad
El Papa=tradición, instituciones, guía espiritual, conformidad, ritual
Los Enamorados=amor, unión, armonía, alineación, elecciones
El Carro=determinación, victoria, control, fuerza de voluntad, triunfo
La Fuerza=coraje, paciencia, fuerza interior, compasión, persuasión
El Ermitaño=soledad, introspección, guía interior, sabiduría, retiro
La Rueda de la Fortuna=destino, ciclos, punto de inflexión, suerte, providencia
La Justicia=justicia, verdad, ley, equilibrio, causa y efecto
El Colgado=suspensión, espera, rendición, nueva perspectiva, sacrificio
La Muerte=finales, transformación, transición, cambio, liberación
La Templanza=equilibrio, moderación, paciencia, propósito, significado
El Diablo=esclavitud, materialismo, sombra, adicción, obsesión
La Torre=cambio repentino, caos, revelación, colapso, crisis
La Estrella=esperanza, fe, renovación, inspiración, serenidad
La Luna=ilusión, miedo, inconsciente, confusión, engaño
El Sol=alegría, éxito, vitalidad, claridad, abundancia
El Juicio=reflexión, juicio, despertar, absolución, renacimiento
El Mundo=culminación, integración, logro, totalidad, viaje
As de Bastos=inspiración, nueva oportunidad, chispa creativa, potencial, crecimiento
Dos de Bastos=planificación, visión de futuro, descubrimiento, movimiento audaz, decisión
Tres de Bastos=expansión, previsión, progreso, oportunidad en el extranjero, visión
Cuatro de Bastos=celebración, armonía, regreso a casa, comunidad, estabilidad
Cinco de Bastos=conflicto, competición, tensión, lucha, desacuerdo
Seis de Bastos=victoria, éxito, reconocimiento público, orgullo, logro
Siete de Bastos=desafío, perseverancia, defensa, mantenerse firme, competición
Ocho de Bastos=velocidad, acción rápida, movimiento, viaje, comunicación
Nueve de Bastos=resistencia, coraje, persistencia, última defensa, aguante
Diez de Bastos=carga, responsabilidad, trabajo duro, estrés, exceso de compromiso
Sota de Bastos=entusiasmo, exploración, espíritu libre, descubrimiento, nueva idea
Caballero de Bastos=acción, aventura, coraje, pasión, impulsividad
Reina de Bastos=confianza, independencia, calidez, determinación, carisma
Rey de Bastos=visión, liderazgo, emprendedor, audacia, honor
As de Copas=nuevos sentimientos, amor, intuición, creatividad, conexión espiritual
Dos de Copas=asociación, atracción mutua, conexión, unión, romance
Tres de Copas=celebración, amistad, comunidad, alegría, abundancia
Cuatro de Copas=contemplación, apatía, reevaluación, retiro, aburrimiento
Cinco de Copas=pérdida, duelo, arrepentimiento, decepción, tristeza
Seis de Copas=nostalgia, infancia, inocencia, reencuentro, recuerdos felices
Siete de Copas=fantasía, ilusión, ilusiones, elecciones, ensueño
Ocho de Copas=alejamiento, desilusión, retirada, partida, significado profundo
Nueve de Copas=satisfacción, plenitud emocional, deseo cumplido, contento
Diez de Copas=armonía, familia, felicidad, alineación, plenitud emocional
Sota de Copas=posibilidades creativas, intuición, sensibilidad, nuevas emociones
Caballero de Copas=romance, encanto, seguir el corazón, imaginación
Reina de Copas=empatía, compasión, seguridad emocional, intuición, cuidado
Rey de Copas=equilibrio emocional, diplomacia, sabiduría, calma, compasión
As de Espadas=claridad, verdad, avance, fuerza mental, decisión
Dos de Espadas=indecisión, emociones bloqueadas, punto muerto, evitación
Tres de Espadas=desamor, tristeza, duelo, dolor, traición
Cuatro de Espadas=descanso, recuperación, contemplación, paz, santuario
Cinco de Espadas=conflicto, derrota, ganar a toda costa, traición, tensión
Seis de Espadas=transición, seguir adelante, dejar atrás, viaje, calma tras la tormenta
Siete de Espadas=engaño, estrategia, sigilo, traición, astucia
Ocho de Espadas=restricción, aprisionamiento, impotencia, victimización
Nueve de Espadas=ansiedad, miedo, desesperación, pesadillas, preocupación
Diez de Espadas=final doloroso, traición, crisis, tocar fondo, pérdida
Sota de Espadas=curiosidad, ingenio, nuevas ideas, comunicación, alerta
Caballero de Espadas=ambición, acción, impulsado, enfocado, rápido
Reina de Espadas=independiente, lúcida, directa, honesta, aguda
Rey de Espadas=claridad, autoridad, verdad, poder intelectual, juicio
As de Oros=oportunidad, prosperidad, nuevo proyecto, abundancia, seguridad
Dos de Oros=equilibrio, adaptabilidad, priorización, gestión del tiempo
Tres de Oros=trabajo en equipo, colaboración, habilidad, artesanía, aprendizaje
Cuatro de Oros=seguridad, control, conservación, posesividad, ahorro
Cinco de Oros=dificultad, pobreza, aislamiento, carencia, pérdida financiera
Seis de Oros=generosidad, dar, caridad, compartir, prosperidad
Siete de Oros=perseverancia, inversión, visión a largo plazo, paciencia, recompensa
Ocho de Oros=diligencia, maestría, desarrollo de habilidades, artesanía, enfoque
Nueve de Oros=abundancia, independencia, lujo, autosuficiencia, gratitud
Diez de Oros=riqueza, legado, familia, éxito a largo plazo, estabilidad
Sota de Oros=ambición, diligencia, aprendizaje, nueva oportunidad, practicidad
Caballero de Oros=eficiencia, rutina, fiabilidad, metódico, conservador
Reina de Oros=nutrición, práctica, protectora, abundante, con los pies en la tierra
Rey de Oros=riqueza, negocios, liderazgo, seguridad, abundancia
