Il Matto=nuovi inizi, innocenza, spontaneità, spirito libero, salto nel vuoto
Il Mago=forza di volontà, abilità, ingegno, manifestazione, potere
La Papessa=intuizione, mistero, conoscenza interiore, subconscio, pazienza
L'Imperatrice=fertilità, abbondanza, nutrimento, creatività, natura
L'Imperatore=autorità, struttura, stabilità, controllo, paternità
Il Papa=tradizione, istituzioni, guida spirituale, conformità, rito
Gli Amanti=amore, unione, armonia, allineamento, scelte
Il Carro=determinazione, vittoria, controllo, forza di volontà, trionfo
La Forza=coraggio, pazienza, forza interiore, compassione, persuasione
L'Eremita=solitudine, introspezione, guida interiore, saggezza, ritiro
La Ruota della Fortuna=fato, cicli, punto di svolta, fortuna, destino
La Giustizia=equità, verità, legge, equilibrio, causa ed effetto
L'Appeso=sospensione, attesa, resa, nuova prospettiva, sacrificio
La Morte=fini, trasformazione, transizione, cambiamento, rilascio
La Temperanza=equilibrio, moderazione, pazienza, scopo, significato
Il Diavolo=schiavitù, materialismo, lato oscuro, dipendenza, ossessione
La Torre=sconvolgimento improvviso, caos, rivelazione, crollo, crisi
La Stella=speranza, fede, rinnovamento, ispirazione, serenità
La Luna=illusione, paura, inconscio, confusione, inganno
Il Sole=gioia, successo, vitalità, chiarezza, abbondanza
Il Giudizio=riflessione, resa dei conti, risveglio, assoluzione, rinascita
Il Mondo=completamento, integrazione, realizzazione, interezza, viaggio
Asso di Bastoni=ispirazione, nuova opportunità, scintilla creativa, potenziale, crescita
Due di Bastoni=pianificazione, visione futura, scoperta, mossa audace, decisione
Tre di Bastoni=espansione, lungimiranza, progresso, opportunità all'estero, visione
Quattro di Bastoni=celebrazione, armonia, ritorno a casa, comunità, stabilità
Cinque di Bastoni=conflitto, competizione, tensione, lotta, disaccordo
Sei di Bastoni=vittoria, successo, riconoscimento pubblico, orgoglio, realizzazione
Sette di Bastoni=sfida, perseveranza, difesa, tenere duro, competizione
Otto di Bastoni=velocità, azione rapida, movimento, viaggio, comunicazione
Nove di Bastoni=resilienza, coraggio, persistenza, ultima resistenza, resistenza
Dieci di Bastoni=fardello, responsabilità, duro lavoro, stress, eccesso di impegni
Fante di Bastoni=entusiasmo, esplorazione, spirito libero, scoperta, nuova idea
Cavaliere di Bastoni=azione, avventura, coraggio, passione, impulsività
Regina di Bastoni=fiducia, indipendenza, calore, determinazione, carisma
Re di Bastoni=visione, leadership, imprenditore, audace, onore
Asso di Coppe=nuovi sentimenti, amore, intuizione, creatività, connessione spirituale
Due di Coppe=partnership, attrazione reciproca, connessione, unione, romanticismo
Tre di Coppe=celebrazione, amicizia, comunità, gioia, abbondanza
Quattro di Coppe=contemplazione, apatia, rivalutazione, ritiro, noia
Cinque di Coppe=perdita, dolore, rimpianto, delusione, tristezza
Sei di Coppe=nostalgia, infanzia, innocenza, ricongiungimento, ricordi felici
Sette di Coppe=fantasia, illusione, pensiero desideroso, scelte, sognare ad occhi aperti
Otto di Coppe=andare via, disillusione, ritiro, abbandono, significato più profondo
Nove di Coppe=soddisfazione, realizzazione emotiva, desiderio realizzato, appagamento
Dieci di Coppe=armonia, famiglia, felicità, allineamento, realizzazione emotiva
Fante di Coppe=possibilità creative, intuizione, sensibilità, nuove emozioni
Cavaliere di Coppe=romanticismo, fascino, seguire il cuore, immaginazione
Regina di Coppe=empatia, compassione, sicurezza emotiva, intuizione, cura
Re di Coppe=equilibrio emotivo, diplomazia, saggezza, calma, compassione
Asso di Spade=chiarezza, verità, svolta, forza mentale, decisione
Due di Spade=indecisione, emozioni bloccate, stallo, evitamento
Tre di Spade=crepacuore, dolore, lutto, ferita, tradimento
Quattro di Spade=riposo, recupero, contemplazione, pace, santuario
Cinque di Spade=conflitto, sconfitta, vittoria a tutti i costi, tradimento, tensione
Sei di Spade=transizione, andare avanti, lasciarsi alle spalle, viaggio, calma dopo la tempesta
Sette di Spade=inganno, strategia, astuzia, tradimento, furbizia
Otto di Spade=restrizione, prigionia, impotenza, auto-vittimizzazione
Nove di Spade=ansia, paura, disperazione, incubi, preoccupazione
Dieci di Spade=fine dolorosa, tradimento, crisi, toccare il fondo, perdita
Fante di Spade=curiosità, arguzia, nuove idee, comunicazione, prontezza
Cavaliere di Spade=ambizione, azione, determinato, focalizzato, rapido
Regina di Spade=indipendente, lucida, diretta, onesta, tagliente
Re di Spade=chiarezza, autorità, verità, potere intellettuale, giudizio
Asso di Denari=opportunità, prosperità, nuova impresa, abbondanza, sicurezza
Due di Denari=equilibrio, adattabilità, prioritizzazione, gestione del tempo
Tre di Denari=lavoro di squadra, collaborazione, abilità, artigianato, apprendimento
Quattro di Denari=sicurezza, controllo, conservazione, possessività, risparmio
Cinque di Denari=difficoltà, povertà, isolamento, mancanza, perdita finanziaria
Sei di Denari=generosità, dare, carità, condivisione, prosperità
Sette di Denari=perseveranza, investimento, visione a lungo termine, pazienza, ricompensa
Otto di Denari=diligenza, maestria, sviluppo di abilità, artigianato, concentrazione
Nove di Denari=abbondanza, indipendenza, lusso, autosufficienza, gratitudine
Dieci di Denari=ricchezza, eredità, famiglia, successo a lungo termine, stabilità
Fante di Denari=ambizione, diligenza, apprendimento, nuova opportunità, praticità
Cavaliere di Denari=efficienza, routine, affidabile, metodico, conservatore
Regina di Denari=accudimento, pratica, protettiva, abbondante, con i piedi per terra
Re di Denari=ricchezza, affari, leadership, sicurezza, abbondanza
