Der Narr=neue Anfänge, Unschuld, Spontanität, freier Geist, Vertrauensvorschuss
Der Magier=Willenskraft, Geschick, Einfallsreichtum, Manifestation, Macht
Die Hohepriesterin=Intuition, Geheimnis, inneres Wissen, Unterbewusstsein, Geduld
Die Herrscherin=Fruchtbarkeit, Fülle, Fürsorge, Kreativität, Natur
Der Herrscher=Autorität, Struktur, Stabilität, Kontrolle, Vaterschaft
Der Hierophant=Tradition, Institutionen, spirituelle Führung, Konformität, Ritual
Die Liebenden=Liebe, Vereinigung, Harmonie, Ausrichtung, Entscheidungen
Der Wagen=Entschlossenheit, Sieg, Kontrolle, Willenskraft, Triumph
Die Kraft=Mut, Geduld, innere Stärke, Mitgefühl, Überzeugung
Der Eremit=Einsamkeit, Introspektion, innere Führung, Weisheit, Rückzug
Das Rad des Schicksals=Schicksal, Zyklen, Wendepunkt, Glück, Bestimmung
Die Gerechtigkeit=Gerechtigkeit, Wahrheit, Gesetz, Gleichgewicht, Ursache und Wirkung
Der Gehängte=Stillstand, Warten, Hingabe, neue Perspektive, Opfer
Der Tod=Enden, Transformation, Übergang, Wandel, Loslassen
Die Mäßigkeit=Gleichgewicht, Mäßigung, Geduld, Sinn, Bedeutung
Der Teufel=Fesseln, Materialismus, Schatten-Selbst, Sucht, Besessenheit
Der Turm=plötzlicher Umbruch, Chaos, Offenbarung, Zusammenbruch, Krise
Der Stern=Hoffnung, Glaube, Erneuerung, Inspiration, Gelassenheit
Der Mond=Illusion, Angst, das Unbewusste, Verwirrung, Täuschung
Die Sonne=Freude, Erfolg, Vitalität, Klarheit, Fülle
Das Gericht=Reflexion, Abrechnung, Erwachen, Absolution, Wiedergeburt
Die Welt=Vollendung, Integration, Errungenschaft, Ganzheit, Reise
Ass der Stäbe=Inspiration, neue Chance, kreativer Funke, Potenzial, Wachstum
Zwei der Stäbe=Planung, Zukunftsvision, Entdeckung, mutiger Schritt, Entscheidung
Drei der Stäbe=Expansion, Weitsicht, Fortschritt, Übersee-Gelegenheit, Vision
Vier der Stäbe=Feier, Harmonie, Heimkehr, Gemeinschaft, Stabilität
Fünf der Stäbe=Konflikt, Wettbewerb, Spannung, Kampf, Uneinigkeit
Sechs der Stäbe=Sieg, Erfolg, öffentliche Anerkennung, Stolz, Errungenschaft
Sieben der Stäbe=Herausforderung, Ausdauer, Verteidigung, Standhaftigkeit, Wettbewerb
