Шут=новые начинания, невинность, спонтанность, свободный дух, прыжок веры
Маг=сила воли, мастерство, изобретательность, проявление, могущество
Верховная Жрица=интуиция, тайна, внутреннее знание, подсознание, терпение
Императрица=плодородие, изобилие, забота, творчество, природа
Император=авторитет, структура, стабильность, контроль, отцовство
Иерофант=традиция, институты, духовное наставничество, соответствие, ритуал
Влюблённые=любовь, союз, гармония, соответствие, выбор
Колесница=решимость, победа, контроль, сила воли, триумф
Сила=мужество, терпение, внутренняя сила, сострадание, убеждение
Отшельник=одиночество, самоанализ, внутреннее руководство, мудрость, уход
Колесо Фортуны=судьба, циклы, поворотный момент, удача, предназначение
Правосудие=справедливость, правда, закон, баланс, причина и следствие
Повешенный=застой, ожидание, капитуляция, новая перспектива, жертва
Смерть=завершение, трансформация, переход, изменение, освобождение
Умеренность=баланс, умеренность, терпение, цель, смысл
Дьявол=рабство, материализм, теневое "я", зависимость, одержимость
Башня=внезапные потрясения, хаос, откровение, крах, кризис
Звезда=надежда, вера, обновление, вдохновение, безмятежность
Луна=иллюзия, страх, бессознательное, замешательство, обман
Солнце=радость, успех, жизненная сила, ясность, изобилие
Суд=размышление, расплата, пробуждение, отпущение грехов, возрождение
Мир=завершение, интеграция, достижение, целостность, путешествие
Туз Жезлов=вдохновение, новая возможность, творческая искра, потенциал, рост
Двойка Жезлов=планирование, видение будущего, открытие, смелый шаг, решение
Тройка Жезлов=расширение, предвидение, прогресс, зарубежные возможности, видение
Четвёрка Жезлов=празднование, гармония, возвращение домой, сообщество, стабильность
Пятёрка Жезлов=конфликт, соревнование, напряжение, борьба, разногласия
Шестёрка Жезлов=победа, успех, публичное признание, гордость, достижение
Семёрка Жезлов=вызов, настойчивость, защита, стойкость, конкуренция
Восьмёрка Жезлов=скорость, быстрые действия, движение, путешествие, общение
Девятка Жезлов=стойкость, мужество, упорство, последний бой, выносливость
Десятка Жезлов=бремя, ответственность, тяжёлый труд, стресс, чрезмерные обязательства
Паж Жезлов=энтузиазм, исследование, свободный дух, открытие, новая идея
Рыцарь Жезлов=действие, приключение, мужество, страсть, импульсивность
Королева Жезлов=уверенность, независимость, теплота, решимость, харизма
Король Жезлов=видение, лидерство, предприниматель, смелость, честь
Туз Кубков=новые чувства, любовь, интуиция, творчество, духовная связь
Двойка Кубков=партнёрство, взаимное притяжение, связь, союз, романтика
Тройка Кубков=празднование, дружба, сообщество, радость, изобилие
Четвёрка Кубков=созерцание, апатия, переоценка, отстранённость, скука
Пятёрка Кубков=потеря, горе, сожаление, разочарование, печаль
Шестёрка Кубков=ностальгия, детство, невинность, воссоединение, счастливые воспоминания
Семёрка Кубков=фантазия, иллюзия, принятие желаемого за действительное, выбор, мечты
Восьмёрка Кубков=уход, разочарование, отстранение, покидание, глубокий смысл
Девятка Кубков=удовлетворение, эмоциональное исполнение, исполнение желаний, довольство
Десятка Кубков=гармония, семья, счастье, соответствие, эмоциональное исполнение
Паж Кубков=творческие возможности, интуиция, чувствительность, новые эмоции
Рыцарь Кубков=романтика, обаяние, следование сердцу, воображение
Королева Кубков=эмпатия, сострадание, эмоциональная безопасность, интуиция, забота
Король Кубков=эмоциональное равновесие, дипломатия, мудрость, спокойствие, сострадание
Туз Мечей=ясность, истина, прорыв, ментальная сила, решение
Двойка Мечей=нерешительность, заблокированные эмоции, тупик, избегание
Тройка Мечей=разбитое сердце, печаль, горе, боль, предательство
Четвёрка Мечей=отдых, восстановление, созерцание, покой, убежище
Пятёрка Мечей=конфликт, поражение, победа любой ценой, предательство, напряжение
Шестёрка Мечей=переход, движение вперёд, оставляя позади, путешествие, затишье после бури
Семёрка Мечей=обман, стратегия, скрытность, предательство, хитрость
Восьмёрка Мечей=ограничение, заточение, беспомощность, самовиктимизация
Девятка Мечей=тревога, страх, отчаяние, кошмары, беспокойство
Десятка Мечей=болезненный конец, предательство, кризис, достижение дна, потеря
Паж Мечей=любопытство, остроумие, новые идеи, общение, бдительность
Рыцарь Мечей=амбиции, действие, целеустремлённость, сосредоточенность, стремительность
Королева Мечей=независимость, ясность мысли, прямолинейность, честность, острота
Король Мечей=ясность, авторитет, истина, интеллектуальная сила, суждение
Туз Пентаклей=возможность, процветание, новое предприятие, изобилие, безопасность
Двойка Пентаклей=баланс, приспособляемость, расстановка приоритетов, управление временем
Тройка Пентаклей=командная работа, сотрудничество, мастерство, ремесло, обучение
Четвёрка Пентаклей=безопасность, контроль, сохранение, собственничество, накопление
Пятёрка Пентаклей=трудности, бедность, изоляция, недостаток, финансовые потери
Шестёрка Пентаклей=щедрость, дарение, благотворительность, обмен, процветание
Семёрка Пентаклей=настойчивость, инвестиции, долгосрочная перспектива, терпение, вознаграждение
Восьмёрка Пентаклей=усердие, мастерство, развитие навыков, ремесло, сосредоточенность
Девятка Пентаклей=изобилие, независимость, роскошь, самодостаточность, благодарность
Десятка Пентаклей=богатство, наследие, семья, долгосрочный успех, стабильность
Паж Пентаклей=амбиции, усердие, обучение, новая возможность, практичность
Рыцарь Пентаклей=эффективность, рутина, надёжность, методичность, консерватизм
Королева Пентаклей=забота, практичность, защита, изобилие, приземлённость
Король Пентаклей=богатство, бизнес, лидерство, безопасность, изобилие
