O Louco=novos começos, inocência, espontaneidade, espírito livre, salto de fé
O Mago=força de vontade, habilidade, engenhosidade, manifestação, poder
A Sacerdotisa=intuição, mistério, conhecimento interior, subconsciente, paciência
A Imperatriz=fertilidade, abundância, nutrição, criatividade, natureza
O Imperador=autoridade, estrutura, estabilidade, controle, paternidade
O Hierofante=tradição, instituições, orientação espiritual, conformidade, ritual
Os Amantes=amor, união, harmonia, alinhamento, escolhas
O Carro=determinação, vitória, controle, força de vontade, triunfo
A Força=coragem, paciência, força interior, compaixão, persuasão
O Eremita=solitude, introspecção, orientação interior, sabedoria, recolhimento
A Roda da Fortuna=destino, ciclos, ponto de virada, sorte, fado
A Justiça=justiça, verdade, lei, equilíbrio, causa e efeito
O Enforcado=suspensão, espera, rendição, nova perspectiva, sacrifício
A Morte=finais, transformação, transição, mudança, libertação
A Temperança=equilíbrio, moderação, paciência, propósito, significado
O Diabo=escravidão, materialismo, eu sombrio, vício, obsessão
A Torre=reviravolta súbita, caos, revelação, colapso, crise
A Estrela=esperança, fé, renovação, inspiração, serenidade
A Lua=ilusão, medo, inconsciente, confusão, engano
O Sol=alegria, sucesso, vitalidade, clareza, abundância
O Julgamento=reflexão, acerto de contas, despertar, absolvição, renascimento
O Mundo=conclusão, integração, realização, totalidade, viagem
Ás de Paus=inspiração, nova oportunidade, faísca criativa, potencial, crescimento
Dois de Paus=planejamento, visão de futuro, descoberta, movimento ousado, decisão
Três de Paus=expansão, previsão, progresso, oportunidade no exterior, visão
Quatro de Paus=celebração, harmonia, regresso ao lar, comunidade, estabilidade
Cinco de Paus=conflito, competição, tensão, luta, desacordo
Seis de Paus=vitória, sucesso, reconhecimento público, orgulho, conquista
Sete de Paus=desafio, perseverança, defesa, firmeza, competição
Oito de Paus=velocidade, ação rápida, movimento, viagem, comunicação
Nove de Paus=resiliência, coragem, persistência, última resistência, vigor
Dez de Paus=fardo, responsabilidade, trabalho árduo, estresse, excesso de compromisso
Pajem de Paus=entusiasmo, exploração, espírito livre, descoberta, nova ideia
Cavaleiro de Paus=ação, aventura, coragem, paixão, impulsividade
Rainha de Paus=confiança, independência, calor, determinação, carisma
Rei de Paus=visão, liderança, empreendedor, ousadia, honra
Ás de Copas=novos sentimentos, amor, intuição, criatividade, conexão espiritual
Dois de Copas=parceria, atração mútua, conexão, união, romance
Três de Copas=celebração, amizade, comunidade, alegria, abundância
Quatro de Copas=contemplação, apatia, reavaliação, recolhimento, tédio
Cinco de Copas=perda, luto, arrependimento, decepção, tristeza
Seis de Copas=nostalgia, infância, inocência, reencontro, memórias felizes
Sete de Copas=fantasia, ilusão, pensamentos desejosos, escolhas, devaneio
Oito de Copas=afastamento, desilusão, recolhimento, partida, significado mais profundo
Nove de Copas=satisfação, realização emocional, desejo realizado, contentamento
Dez de Copas=harmonia, família, felicidade, alinhamento, realização emocional
Pajem de Copas=possibilidades criativas, intuição, sensibilidade, novas emoções
Cavaleiro de Copas=romance, encanto, seguir o coração, imaginação
Rainha de Copas=empatia, compaixão, segurança emocional, intuição, cuidado
Rei de Copas=equilíbrio emocional, diplomacia, sabedoria, calma, compaixão
Ás de Espadas=clareza, verdade, avanço, força mental, decisão
Dois de Espadas=indecisão, emoções bloqueadas, impasse, evitação
Três de Espadas=desgosto, tristeza, luto, mágoa, traição
Quatro de Espadas=descanso, recuperação, contemplação, paz, santuário
Cinco de Espadas=conflito, derrota, vencer a todo custo, traição, tensão
Seis de Espadas=transição, seguir em frente, deixar para trás, viagem, calma após a tempestade
Sete de Espadas=engano, estratégia, dissimulação, traição, astúcia
Oito de Espadas=restrição, aprisionamento, desamparo, auto-vitimização
Nove de Espadas=ansiedade, medo, desespero, pesadelos, preocupação
Dez de Espadas=fim doloroso, traição, crise, tocar o fundo, perda
Pajem de Espadas=curiosidade, sagacidade, novas ideias, comunicação, alerta
Cavaleiro de Espadas=ambição, ação, impulsionado, focado, rápido
Rainha de Espadas=independente, lúcida, direta, honesta, perspicaz
Rei de Espadas=clareza, autoridade, verdade, poder intelectual, julgamento
Ás de Ouros=oportunidade, prosperidade, novo empreendimento, abundância, segurança
Dois de Ouros=equilíbrio, adaptabilidade, priorização, gestão do tempo
Três de Ouros=trabalho em equipe, colaboração, habilidade, artesanato, aprendizado
Quatro de Ouros=segurança, controle, conservação, possessividade, poupança
Cinco de Ouros=adversidade, pobreza, isolamento, carência, perda financeira
Seis de Ouros=generosidade, doação, caridade, partilha, prosperidade
Sete de Ouros=perseverança, investimento, visão de longo prazo, paciência, recompensa
Oito de Ouros=diligência, maestria, desenvolvimento de habilidades, artesanato, foco
Nove de Ouros=abundância, independência, luxo, autossuficiência, gratidão
Dez de Ouros=riqueza, legado, família, sucesso a longo prazo, estabilidade
Pajem de Ouros=ambição, diligência, aprendizado, nova oportunidade, praticidade
Cavaleiro de Ouros=eficiência, rotina, confiável, metódico, conservador
Rainha de Ouros=nutrir, prática, protetora, abundante, pés no chão
Rei de Ouros=riqueza, negócios, liderança, segurança, abundância
