Le Fou=nouveaux départs, innocence, spontanéité, esprit libre, saut dans l'inconnu
Le Bateleur=volonté, talent, ingéniosité, manifestation, pouvoir
La Papesse=intuition, mystère, savoir intérieur, subconscient, patience
L'Impératrice=fertilité, abondance, soin, créativité, nature
L'Empereur=autorité, structure, stabilité, contrôle, paternité
Le Pape=tradition, institutions, guidance spirituelle, conformité, rituel
L'Amoureux=amour, union, harmonie, alignement, choix
Le Chariot=détermination, victoire, contrôle, volonté, triomphe
La Force=courage, patience, force intérieure, compassion, persuasion
L'Hermite=solitude, introspection, guidance intérieure, sagesse, repli
La Roue de Fortune=destin, cycles, tournant, chance, fatalité
La Justice=équité, vérité, loi, équilibre, cause à effet
Le Pendu=suspension, attente, abandon, nouvelle perspective, sacrifice
La Mort=fins, transformation, transition, changement, libération
La Tempérance=équilibre, modération, patience, but, sens
Le Diable=asservissement, matérialisme, part d'ombre, addiction, obsession
La Tour=bouleversement soudain, chaos, révélation, effondrement, crise
L'Étoile=espoir, foi, renouveau, inspiration, sérénité
La Lune=illusion, peur, inconscient, confusion, tromperie
Le Soleil=joie, succès, vitalité, clarté, abondance
Le Jugement=réflexion, bilan, éveil, absolution, renaissance
Le Monde=achèvement, intégration, accomplissement, plénitude, voyage
As de Bâtons=inspiration, nouvelle opportunité, étincelle créative, potentiel, croissance
Deux de Bâtons=planification, vision d'avenir, découverte, mouvement audacieux, décision
Trois de Bâtons=expansion, prévoyance, progrès, opportunité à l'étranger, vision
Quatre de Bâtons=célébration, harmonie, retour au foyer, communauté, stabilité
Cinq de Bâtons=conflit, compétition, tension, lutte, désaccord
Six de Bâtons=victoire, succès, reconnaissance publique, fierté, accomplissement
Sept de Bâtons=défi, persévérance, défense, tenir bon, compétition
Huit de Bâtons=vitesse, action rapide, mouvement, voyage, communication
Neuf de Bâtons=résilience, courage, persistance, dernier effort, endurance
Dix de Bâtons=fardeau, responsabilité, travail acharné, stress, surinvestissement
Valet de Bâtons=enthousiasme, exploration, esprit libre, découverte, nouvelle idée
Cavalier de Bâtons=action, aventure, courage, passion, impulsivité
Reine de Bâtons=confiance, indépendance, chaleur, détermination, charisme
Roi de Bâtons=vision, leadership, entrepreneur, audace, honneur
As de Coupes=nouveaux sentiments, amour, intuition, créativité, connexion spirituelle
Deux de Coupes=partenariat, attraction mutuelle, connexion, union, romance
Trois de Coupes=célébration, amitié, communauté, joie, abondance
Quatre de Coupes=contemplation, apathie, réévaluation, repli, ennui
Cinq de Coupes=perte, chagrin, regret, déception, tristesse
Six de Coupes=nostalgie, enfance, innocence, retrouvailles, doux souvenirs
Sept de Coupes=fantaisie, illusion, vœux pieux, choix, rêverie
Huit de Coupes=s'éloigner, désillusion, retrait, départ, sens profond
Neuf de Coupes=satisfaction, épanouissement émotionnel, vœu exaucé, contentement
Dix de Coupes=harmonie, famille, bonheur, alignement, épanouissement émotionnel
Valet de Coupes=possibilités créatives, intuition, sensibilité, nouvelles émotions
Cavalier de Coupes=romance, charme, suivre son cœur, imagination
Reine de Coupes=empathie, compassion, sécurité émotionnelle, intuition, attention
Roi de Coupes=équilibre émotionnel, diplomatie, sagesse, calme, compassion
As d'Épées=clarté, vérité, percée, force mentale, décision
Deux d'Épées=indécision, émotions bloquées, impasse, évitement
Trois d'Épées=chagrin, douleur, peine, blessure, trahison
Quatre d'Épées=repos, récupération, contemplation, paix, sanctuaire
Cinq d'Épées=conflit, défaite, gagner à tout prix, trahison, tension
Six d'Épées=transition, avancer, laisser derrière soi, voyage, calme après la tempête
Sept d'Épées=tromperie, stratégie, discrétion, trahison, ruse
Huit d'Épées=restriction, emprisonnement, impuissance, auto-victimisation
Neuf d'Épées=anxiété, peur, désespoir, cauchemars, inquiétude
Dix d'Épées=fin douloureuse, trahison, crise, toucher le fond, perte
Valet d'Épées=curiosité, esprit vif, nouvelles idées, communication, vigilance
Cavalier d'Épées=ambition, action, déterminé, concentré, rapide
Reine d'Épées=indépendante, lucide, directe, honnête, tranchante
Roi d'Épées=clarté, autorité, vérité, pouvoir intellectuel, jugement
As de Deniers=opportunité, prospérité, nouvelle entreprise, abondance, sécurité
Deux de Deniers=équilibre, adaptabilité, priorisation, gestion du temps
Trois de Deniers=travail d'équipe, collaboration, compétence, artisanat, apprentissage
Quatre de Deniers=sécurité, contrôle, conservation, possessivité, économie
Cinq de Deniers=épreuve, pauvreté, isolement, manque, perte financière
Six de Deniers=générosité, don, charité, partage, prospérité
Sept de Deniers=persévérance, investissement, vision à long terme, patience, récompense
Huit de Deniers=diligence, maîtrise, développement de compétences, artisanat, concentration
Neuf de Deniers=abondance, indépendance, luxe, autosuffisance, gratitude
Dix de Deniers=richesse, héritage, famille, succès à long terme, stabilité
Valet de Deniers=ambition, diligence, apprentissage, nouvelle opportunité, praticité
Cavalier de Deniers=efficacité, routine, fiabilité, méthode, conservatisme
Reine de Deniers=bienveillance, praticité, protection, abondance, sens des réalités
Roi de Deniers=richesse, affaires, leadership, sécurité, abondance
